District,timeperiod,No. of person evacuated,No. of Persons Rescued,Population Affected,"Total Livestock Lost",House Damage Total,Cultivated Area affected in Hectare,Crop Loss Total in hact.,Population Affected in Cyclone Fani ,"No. of Person evacuated in cyclone Fani",House Damage Total in cyclone Fani,Cultivated Area affected in Hectare in cyclone Fani,"Total Livestock Affected in cyclone Fani","Total Livestock Lost in cyclone Fani",Population Affected in Cyclone Bulbul,No. of Persons evacuated in cyclone Bulbul,House Damage Total in cyclone Bulbul,Cultivated Area affected in Hectare in cyclone Bulbul,"Total Livestock Lost in cyclone Bulbul",Total No. Of Death of Humans In Flood & Cyclone
Anugul,2019-20,300,0,5019,0,167,0,0,5709,5587,519,0,0,0,0,0,0,0,0,45
Balangir,2019-20,23388,23388,215050,59,14151,24319.3,5635.5,0,0,0,0,0,0,0,0,0,0,0,20
Baleshwar,2019-20,0,0,0,0,0,0,0,1133374,238520,1143,17775,62268,32,516900,1208,563,28542.2,0,85
Bargarh,2019-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhadrak,2019-20,0,0,0,0,0,0,0,1015742,62475,5669,5907,6245,1530,550000,1025,2374,67166.21,1814,67
Boudh,2019-20,19732,34917,35039,0,1569,1911.3,1703.52,0,1090,0,0,0,0,0,0,0,0,0,3
Cuttack,2019-20,550,0,8140,0,0,2891,1803.984,1689432,197744,92649,15868,1673790,1187403,0,0,0,0,0,60
Deogarh,2019-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Dhenkanal,2019-20,0,0,0,0,0,0,0,302461,6147,4308,2063,0,4515,0,0,0,0,0,57
Gajapati,2019-20,1065,0,"14,680",0,0,0,0,0,48975,0,0,0,0,0,0,0,0,0,6
Ganjam,2019-20,0,0,0,0,0,0,0,2000000,301460,1216,15,173709,4955,0,0,0,0,0,92
Jagatsinghapur,2019-20,0,0,0,0,0,0,0,1136971,92326,17136,31959,859282,83176,1136971,576,31,9077,0,16
Jajapur,2019-20,0,0,0,0,0,0,0,2192630,96156,15849,23961,901816,18461,81516,0,0,38398,0,65
Jharsuguda,2019-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Kalahandi,2019-20,2551,30,420617,42,1599,4611.99,0,0,0,0,0,0,0,0,0,0,0,0,14
Kandhamal,2019-20,437,0,5250,0,354,174,77.917,0,15255,0,0,0,0,0,0,0,0,0,18
Kendrapara,2019-20,0,0,0,0,0,0,0,1522901,116693,0,11060,550200,14318,1522901,8477,5569,72007,35997,65
Kendujhar,2019-20,0,0,0,0,0,0,0,7200,6352,605,0,5803,0,0,0,0,0,0,74
Khordha,2019-20,0,0,1070,0,0,1753,258.503,2502008,84987,0,0,1126976,1326853,0,0,0,0,0,0
